Entity,Code,Year,Homosexual activity (historical)
Algeria,DZA,2001,"Illegal, prison or other penalty"
Algeria,DZA,2002,"Illegal, prison or other penalty"
Algeria,DZA,2003,"Illegal, prison or other penalty"
Algeria,DZA,2004,"Illegal, prison or other penalty"
Algeria,DZA,2005,"Illegal, prison or other penalty"
Algeria,DZA,2006,"Illegal, prison or other penalty"
Algeria,DZA,2007,"Illegal, prison or other penalty"
Algeria,DZA,2008,"Illegal, prison or other penalty"
Algeria,DZA,2009,"Illegal, prison or other penalty"
Algeria,DZA,2010,"Illegal, prison or other penalty"
Algeria,DZA,2011,"Illegal, prison or other penalty"
Algeria,DZA,2012,"Illegal, prison or other penalty"
Algeria,DZA,2013,"Illegal, prison or other penalty"
Algeria,DZA,2014,"Illegal, prison or other penalty"
Algeria,DZA,2015,"Illegal, prison or other penalty"
Algeria,DZA,2016,"Illegal, prison or other penalty"
Algeria,DZA,2017,"Illegal, prison or other penalty"
Algeria,DZA,2018,"Illegal, prison or other penalty"
Algeria,DZA,2019,"Illegal, prison or other penalty"
Algeria,DZA,2020,"Illegal, prison or other penalty"
Algeria,DZA,2021,"Illegal, prison or other penalty"
Algeria,DZA,2022,"Illegal, prison or other penalty"
Algeria,DZA,2023,"Illegal, prison or other penalty"
Algeria,DZA,2024,"Illegal, prison or other penalty"
Andorra,AND,1950,Legal
Andorra,AND,1951,Legal
Andorra,AND,1952,Legal
Andorra,AND,1953,Legal
Andorra,AND,1954,Legal
Andorra,AND,1955,Legal
Andorra,AND,1956,Legal
Andorra,AND,1957,Legal
Andorra,AND,1958,Legal
Andorra,AND,1959,Legal
Andorra,AND,1960,Legal
Andorra,AND,1961,Legal
Andorra,AND,1962,Legal
Andorra,AND,1963,Legal
Andorra,AND,1964,Legal
Andorra,AND,1965,Legal
Andorra,AND,1966,Legal
Andorra,AND,1967,Legal
Andorra,AND,1968,Legal
Andorra,AND,1969,Legal
Andorra,AND,1970,Legal
Andorra,AND,1971,Legal
Andorra,AND,1972,Legal
Andorra,AND,1973,Legal
Andorra,AND,1974,Legal
Andorra,AND,1975,Legal
Andorra,AND,1976,Legal
Andorra,AND,1977,Legal
Andorra,AND,1978,Legal
Andorra,AND,1979,Legal
Andorra,AND,1980,Legal
Andorra,AND,1981,Legal
Andorra,AND,1982,Legal
Andorra,AND,1983,Legal
Andorra,AND,1984,Legal
Andorra,AND,1985,Legal
Andorra,AND,1986,Legal
Andorra,AND,1987,Legal
Andorra,AND,1988,Legal
Andorra,AND,1989,Legal
Andorra,AND,1990,Legal
Andorra,AND,1991,Legal
Andorra,AND,1992,Legal
Andorra,AND,1993,Legal
Andorra,AND,1994,Legal
Andorra,AND,1995,Legal
Andorra,AND,1996,Legal
Andorra,AND,1997,Legal
Andorra,AND,1998,Legal
Andorra,AND,1999,Legal
Andorra,AND,2000,Legal
Andorra,AND,2001,Legal
Andorra,AND,2002,Legal
Andorra,AND,2003,Legal
Andorra,AND,2004,Legal
Andorra,AND,2005,Legal
Andorra,AND,2006,Legal
Andorra,AND,2007,Legal
Andorra,AND,2008,Legal
Andorra,AND,2009,Legal
Andorra,AND,2010,Legal
Andorra,AND,2011,Legal
Andorra,AND,2012,Legal
Andorra,AND,2013,Legal
Andorra,AND,2014,Legal
Andorra,AND,2015,Legal
Andorra,AND,2016,Legal
Andorra,AND,2017,Legal
Andorra,AND,2018,Legal
Andorra,AND,2019,Legal
Andorra,AND,2020,Legal
Andorra,AND,2021,Legal
Andorra,AND,2022,Legal
Andorra,AND,2023,Legal
Andorra,AND,2024,Legal
Angola,AGO,1950,"Illegal, prison or other penalty"
Angola,AGO,1951,"Illegal, prison or other penalty"
Angola,AGO,1952,"Illegal, prison or other penalty"
Angola,AGO,1953,"Illegal, prison or other penalty"
Angola,AGO,1954,"Illegal, prison or other penalty"
Angola,AGO,1955,"Illegal, prison or other penalty"
Angola,AGO,1956,"Illegal, prison or other penalty"
Angola,AGO,1957,"Illegal, prison or other penalty"
Angola,AGO,1958,"Illegal, prison or other penalty"
Angola,AGO,1959,"Illegal, prison or other penalty"
Angola,AGO,1960,"Illegal, prison or other penalty"
Angola,AGO,1961,"Illegal, prison or other penalty"
Angola,AGO,1962,"Illegal, prison or other penalty"
Angola,AGO,1963,"Illegal, prison or other penalty"
Angola,AGO,1964,"Illegal, prison or other penalty"
Angola,AGO,1965,"Illegal, prison or other penalty"
Angola,AGO,1966,"Illegal, prison or other penalty"
Angola,AGO,1967,"Illegal, prison or other penalty"
Angola,AGO,1968,"Illegal, prison or other penalty"
Angola,AGO,1969,"Illegal, prison or other penalty"
Angola,AGO,1970,"Illegal, prison or other penalty"
Angola,AGO,1971,"Illegal, prison or other penalty"
Angola,AGO,1972,"Illegal, prison or other penalty"
Angola,AGO,1973,"Illegal, prison or other penalty"
Angola,AGO,1974,"Illegal, prison or other penalty"
Angola,AGO,1975,"Illegal, prison or other penalty"
Angola,AGO,1976,"Illegal, prison or other penalty"
Angola,AGO,1977,"Illegal, prison or other penalty"
Angola,AGO,1978,"Illegal, prison or other penalty"
Angola,AGO,1979,"Illegal, prison or other penalty"
Angola,AGO,1980,"Illegal, prison or other penalty"
Angola,AGO,1981,"Illegal, prison or other penalty"
Angola,AGO,1982,"Illegal, prison or other penalty"
Angola,AGO,1983,"Illegal, prison or other penalty"
Angola,AGO,1984,"Illegal, prison or other penalty"
Angola,AGO,1985,"Illegal, prison or other penalty"
Angola,AGO,1986,"Illegal, prison or other penalty"
Angola,AGO,1987,"Illegal, prison or other penalty"
Angola,AGO,1988,"Illegal, prison or other penalty"
Angola,AGO,1989,"Illegal, prison or other penalty"
Angola,AGO,1990,"Illegal, prison or other penalty"
Angola,AGO,1991,"Illegal, prison or other penalty"
Angola,AGO,1992,"Illegal, prison or other penalty"
Angola,AGO,1993,"Illegal, prison or other penalty"
Angola,AGO,1994,"Illegal, prison or other penalty"
Angola,AGO,1995,"Illegal, prison or other penalty"
