País,IDH,Índice de Felicidad,PIB per cápita (USD),Religión Predominante
Yemen,0.455,3.38,944,Islam
Afganistán,0.496,2.52,507,Islam
Mauritania,0.556,4.12,1636,Islam
Brasil,0.754,6.33,7507,Cristianismo (Catolicismo)
Chile,0.851,6.23,15130,Cristianismo (Catolicismo)
Malta,0.895,6.77,28851,Cristianismo (Catolicismo)
