Pais,Año,Legislación
Andorra,1950,Legal
Angola,1950,"Ilegal, prisión u otra pena"
Bangladesh,1950,"Ilegal, prisión u otra pena"
Belarus,1950,Ilegal
Belgium,1950,Legal
Bolivia,1950,Legal
Bosnia and Herzegovina,1950,"Ilegal, prisión u otra pena"
Brazil,1950,Legal
Bulgaria,1950,"Ilegal, prisión u otra pena"
Canada,1950,"Ilegal, prisión u otra pena"
Cape Verde,1950,"Ilegal, prisión u otra pena"
Chile,1950,Ilegal
China,1950,"Ilegal, prisión u otra pena"
Croatia,1950,"Ilegal, prisión u otra pena"
Cuba,1950,Ambiguo
Cyprus,1950,Ilegal
Democratic Republic of Congo,1950,Legal
Denmark,1950,Legal
Dominican Republic,1950,Legal
Estonia,1950,Ilegal
Eswatini,1950,Ilegal
Fiji,1950,"Ilegal, prisión u otra pena"
Finland,1950,"Ilegal, prisión u otra pena"
France,1950,Legal
Gambia,1950,"Ilegal, prisión u otra pena"
Georgia,1950,Ilegal
Germany,1950,"Ilegal, pena de muerte"
Guatemala,1950,Legal
Guyana,1950,Ilegal
Haiti,1950,Legal
Iceland,1950,Legal
India,1950,"Ilegal, prisión u otra pena"
Iran,1950,"Ilegal, pena de muerte"
Ireland,1950,"Ilegal, prisión u otra pena"
Italy,1950,Legal
Jamaica,1950,Ilegal
Japan,1950,Legal
Kazakhstan,1950,Ilegal
Kenya,1950,"Ilegal, prisión u otra pena"
Lebanon,1950,Ambiguo
Lesotho,1950,Ilegal
Lithuania,1950,Ilegal
Malawi,1950,"Ilegal, prisión u otra pena"
Malaysia,1950,"Ilegal, prisión u otra pena"
Mauritius,1950,Ilegal
Mexico,1950,Legal
Moldova,1950,Ilegal
Monaco,1950,Legal
Montenegro,1950,"Ilegal, prisión u otra pena"
Myanmar,1950,"Ilegal, prisión u otra pena"
Nauru,1950,Ilegal
Netherlands,1950,Legal
Nigeria,1950,"Ilegal, pena de muerte"
North Korea,1950,Legal
North Macedonia,1950,"Ilegal, prisión u otra pena"
Pakistan,1950,Ilegal
Panama,1950,"Ilegal, pena de muerte"
Poland,1950,Legal
Russia,1950,Ilegal
San Marino,1950,Legal
Sao Tome and Principe,1950,"Ilegal, prisión u otra pena"
Serbia,1950,"Ilegal, prisión u otra pena"
Sierra Leone,1950,Ilegal
Slovenia,1950,"Ilegal, prisión u otra pena"
Sri Lanka,1950,"Ilegal, prisión u otra pena"
Suriname,1950,Legal
Sweden,1950,Legal
Switzerland,1950,Legal
Syria,1950,"Ilegal, prisión u otra pena"
Taiwan,1950,Legal
Tajikistan,1950,Ilegal
Tanzania,1950,"Ilegal, prisión u otra pena"
Tunisia,1950,"Ilegal, prisión u otra pena"
Turkey,1950,Legal
Uganda,1950,"Ilegal, prisión u otra pena"
Ukraine,1950,Ilegal
United Kingdom,1950,"Ilegal, prisión u otra pena"
Uruguay,1950,Legal
Zambia,1950,Ilegal
