,país,índice de igualdad legal,legalidad_colectivo_lgbtiq+,fecha_despenalización,pena_máxima,constitución,protección_amplia,empleo,crimen_odio,incitación,prohibición_terapias,matrimonio_igualitario,uniones_civiles,adopción_conjunta,adopción_segundo_progenitor
77,Ethiopia,7.0,No,0,3 años,No,No,No,No,No,No,No,No,No,No
81,Fiji,53.57,Si,2010,Desconocido,Si,Si,Si,No,Limitada,Limitada,No,No,No,No
82,Finland,85.0,Si,1971,Desconocido,No,Si,Si,Si,Si,No,Si,No,Si,Si
83,France,90.0,Si,1791,Desconocido,No,Si,Si,Si,Si,No,Si,Si,Si,Si
86,Gabon,45.79,Si,2020,Desconocido,No,No,No,No,No,No,No,No,No,No
87,Gambia,12.56,No,0,14 años,No,No,No,No,No,No,No,No,No,No
88,Georgia,63.72,Si,2000,Desconocido,No,Si,Si,Si,No,No,No,No,No,No
89,Germany,95.23,Si,1969,Desconocido,No,Si,Si,No,No,Si,Si,No,Si,Si
90,Ghana,17.07,No,0,3 años,No,No,No,No,No,No,No,No,No,No
92,Greece,93.18,Si,1951,Desconocido,No,No,Si,Si,Si,No,No,Si,No,No
94,Grenada,35.0,No,0,10 años,No,No,No,Limitada,No,No,No,No,No,No
97,Guatemala,49.76,Si,1834,Desconocido,No,No,No,No,No,No,No,No,No,No
99,Guinea,20.49,No,0,3 años,No,No,No,No,No,No,No,No,No,No
100,Guinea-Bissau,46.19,Si,1993,Desconocido,No,No,No,No,No,No,No,No,No,No
101,Guyana,26.51,No,0,Cadena perpetua,No,No,No,No,No,No,No,No,No,No
102,Haiti,46.0,Si,1791,Desconocido,No,No,No,Limitada,No,No,No,No,No,No
103,Honduras,59.05,Si,1899,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
105,Hungary,62.27,Si,1962,Desconocido,No,Si,Si,Si,Si,No,No,Si,No,No
106,Iceland,90.48,Si,1940,Desconocido,No,Si,Si,No,Si,No,Si,No,Si,Si
107,India,65.0,Si,2018,Desconocido,No,No,No,No,No,No,No,No,No,No
108,Indonesia,17.78,Unknown,0,Desconocido,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
110,Iran,5.13,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
111,Iraq,4.32,DE FACTO,0,Indeterminado,No,No,No,No,No,No,No,No,No,No
112,Ireland,85.0,Si,1993,Desconocido,No,Si,Si,No,Si,No,Si,No,Si,Si
114,Israel,70.91,Si,1988,Desconocido,No,Si,Si,No,Limitada,No,No,Si,Si,Si
115,Italy,78.79,Si,1890,Desconocido,No,Limitada,Si,No,No,No,No,Si,No,No
116,Jamaica,33.5,No,0,10 años,No,No,Limitada,No,No,No,No,No,No,No
117,Japan,70.0,Si,1882,Desconocido,No,Limitada,Limitada,No,No,No,No,Limitada,No,No
119,Jordan,40.95,Si,1951,Desconocido,No,No,No,No,No,No,No,No,No,No
120,Kazakhstan,59.09,Si,1998,Desconocido,No,No,No,No,No,No,No,No,No,No
121,Kenya,25.39,No,0,14 años,No,No,No,No,No,No,No,No,No,No
122,Kiribati,33.33,No,0,14 años,No,No,Si,No,No,No,No,No,No,No
123,Kosovo,40.0,Si,1994,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
124,Kuwait,15.9,No,0,7 años,No,No,No,No,No,No,No,No,No,No
125,Kyrgyzstan,44.74,Si,1998,Desconocido,No,No,No,No,No,No,No,No,No,No
126,Laos,49.47,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
127,Latvia,62.73,Si,1992,Desconocido,No,No,Si,No,No,No,No,No,No,No
128,Lebanon,20.74,No,0,1 años,No,No,No,No,No,No,No,No,No,No
